epoch,train_loss,val_loss
1,0.001900,0.002861
2,0.000709,0.002767
3,0.000612,0.002772
4,0.000565,0.002786
5,0.000535,0.003017
6,0.000517,0.002548
7,0.000513,0.002721
8,0.000489,0.002628
9,0.000475,0.002451
10,0.000462,0.002223
11,0.000456,0.002396
12,0.000450,0.002515
13,0.000437,0.002464
14,0.000436,0.002340
15,0.000434,0.002199
16,0.000426,0.002131
17,0.000423,0.002348
18,0.000424,0.002058
19,0.000414,0.002210
20,0.000416,0.002063
21,0.000414,0.002146
22,0.000406,0.001966
23,0.000407,0.002077
24,0.000403,0.001933
25,0.000405,0.001963
26,0.000463,0.002156
27,0.000394,0.001806
28,0.000389,0.001976
29,0.000570,0.002176
30,0.000389,0.002012
31,0.000394,0.001802
32,0.000398,0.001845
33,0.000379,0.001784
34,0.000380,0.001722
35,0.000409,0.001807
36,0.000452,0.001819
37,0.000462,0.001723
38,0.000377,0.001808
39,0.000372,0.001690
40,0.000376,0.001827
41,0.001367,0.003410
42,0.001307,0.002603
43,0.001083,0.003022
44,0.002298,0.003236
