epoch,train_loss,val_loss
1,0.002593,0.009871
2,0.001082,0.004623
3,0.000750,0.002406
4,0.000613,0.003467
5,0.000571,0.003144
6,0.000523,0.003853
7,0.000511,0.005235
8,0.000499,0.004303
