epoch,train_loss,val_loss
1,0.002161,0.001957
2,0.000786,0.002907
3,0.000613,0.002914
4,0.000548,0.002995
5,0.000527,0.003003
6,0.000523,0.001482
7,0.000488,0.002036
8,0.000475,0.001460
9,0.000464,0.001002
10,0.000452,0.001366
11,0.000445,0.001747
12,0.000439,0.002007
13,0.000437,0.002823
14,0.000433,0.002564
