epoch,train_loss,val_loss
1,0.053356,0.103392
2,0.013784,0.018561
3,0.007168,0.016407
4,0.005824,0.013948
5,0.005072,0.009603
6,0.004537,0.010383
7,0.004458,0.011245
8,0.004547,0.010494
9,0.004125,0.011060
10,0.004029,0.011402
